BJD RV e_RV BERV rv18 e_rv18 rv19 e_rv19 rv20 e_rv20 rv21 e_rv21 rv22 e_rv22 rv23 e_rv23 rv24 e_rv24 rv25 e_rv25 rv26 e_rv26 rv27 e_rv27 rv28 e_rv28 rv29 e_rv29 filename
2458382.319400259 -125.82704679579153 7.036300175072692 -16.77490520519418 -97.13611529249677 38.98949943222752 -139.7752194232143 36.51532307934153 -110.51341361873291 20.478022854050103 -107.6209341074923 21.421799086942027 -114.48012535404644 23.236315068209183 -106.11253428105657 20.363837086585896 -113.0375428569428 22.7125022075559 -184.46730313516142 24.597592465788257 -129.56184217899207 28.1827317877114 -144.02445087094273 29.780409033354722 -146.09251495021684 31.33624459597678 -117.10256548020307 47.67866515641789 TV00001.fits
2458382.327409518 -113.32718492532791 6.071204170299302 -16.790427597041937 -101.3080071905958 38.17186398350745 -125.00344248481541 25.34961273485271 -119.41597026032008 21.81754450461857 -71.64612058455394 26.877331792433687 -113.1816186881305 20.988474508619245 -90.54384398383802 20.37913532740602 -132.77326786378197 21.5407277114246 -134.5579980349702 22.85756061959632 -114.25389539894138 27.450244980186596 -137.9469663735011 29.289712643671365 -129.99705603179498 31.629313329086457 -89.29803220869165 44.638030755601626 TV00002.fits
2458382.3349442403 -112.1499697938993 5.997485916063259 -16.80493849267397 -83.84351248330479 40.71887386056483 -114.4737208431109 21.387572722845597 -109.9564444345307 20.842073856578814 -88.16975314744693 20.9417297959353 -95.09791967135672 21.285092998735887 -93.96928266934744 23.8474350720937 -117.13407979395492 32.92129725935595 -138.97188849852606 22.555032774817356 -136.95109811706863 28.223528031564722 -95.76489646801741 32.22231449161946 -135.73011771248386 30.945909289768075 -135.7369236876432 48.08132810266809 TV00003.fits
2458383.4830457447 180.7989199375307 15.25468773556923 -17.28140187140689 292.83164128960567 71.1191945984175 183.36037094288176 37.24602365480818 215.0751587883491 35.36192230637131 174.77681066269582 39.66451916558841 173.37018748152127 47.386787224397565 189.35493109725132 37.08481561109139 198.3483535622054 36.26932517907738 146.07106124480043 36.895290207734426 69.55923944546181 65.31290596148602 153.0855669667613 48.19705014797961 154.55403123845278 51.911607145955486 219.1996865303816 74.48460195520728 TV00004.fits
2458383.4976525735 194.80340628334136 19.242440537516938 -17.293550189159216 317.05121329734163 70.60904541427747 207.10615836862323 37.82983408546776 179.3599242452227 38.571005014827726 163.56509902398358 36.91987979015777 226.92342637546943 37.82396520195673 187.86967809070396 38.343868043902845 171.53521833903565 38.487525915472474 173.1939490216906 38.878804505459954 310.10620661152313 54.75437037957119 112.30103455543646 45.76633824436161 195.68487478581457 53.79467709080055 92.94409268525115 76.99382804340699 TV00005.fits
2458386.350557666 -119.42936279558118 8.707501147464207 -17.799328746500315 -125.3134851849488 87.45366718831983 -160.1285885406391 41.25363618876336 -120.8929017067056 43.8189519211512 -138.4382826039372 45.817835361051166 -64.16175596732545 48.77234579284397 -106.74661985111207 55.67468228989286 -102.90282231168277 43.34175836463068 -90.71841707607729 46.11211663275494 -144.51069093546135 53.291895954268725 -145.3343723599751 53.73398609812826 -82.87703277963085 66.62077412488513 -151.12738422947854 91.43819222269502 TV00006.fits
2458386.3727448187 -122.28294360733344 13.592473650771533 -17.841634747772765 -180.9070626443689 75.9447297526077 -116.3937866686238 35.80972577946936 -146.91398689477882 40.73561307870071 -92.15400575684028 39.76884120981604 -98.34250658448258 51.96227116268055 -135.70997522645217 53.423471246468495 -146.76157153727203 38.89133670104475 -122.07734380793455 39.69668441208008 -155.58888019081746 47.4469856297761 -151.29617263664457 48.59113525338522 -125.79658138764208 79.22567832256259 4.546550047856126 80.4871882714499 TV00007.fits
2458386.3871896104 -168.06669254097073 16.99171737298038 -17.86487493622901 -222.75629852220573 80.20486095232552 -88.85389930290847 38.77771932151054 -145.9290810804817 37.59073913536197 -191.41397976609878 44.826396359700325 -97.25819921562532 43.21706994821117 -0.38165858499069816 inf -127.68865287060294 40.53425018001584 -164.33988753467358 38.32710034821117 -249.68009315959839 47.760516826520615 -158.95478835106795 51.25481948493945 -255.22687535979043 57.89381066461733 -146.6318627876249 76.96977069823977 TV00008.fits
2458387.3953721337 174.9667464490992 6.641634603150149 -18.10501988494836 210.00104973527337 38.5639137611662 164.6723190951409 20.415119287342346 191.95482272938926 24.390568582241542 178.142868242444 21.575768074725218 178.39350868779877 21.113561599345765 190.81371217200822 24.68901349619553 201.43355835873712 23.149988872021094 141.22084495751182 31.832061340896015 175.55160603036492 32.71397279329245 132.23194345997067 27.999777120285785 176.34214073909953 43.0742627425955 158.842583181452 53.82750005735426 TV00009.fits
2458387.409689263 166.5330644230196 10.681292078375423 -18.126358601106517 144.45080676025486 40.18235319464227 184.92933644959396 21.89404571513061 193.84822099693935 24.682483536126103 164.72145573247997 34.75516031714782 187.08271080262116 32.41787832510066 239.89134934669434 49.512946005177916 177.60044745091213 26.77005663579672 156.70930107990827 32.71203306226135 86.03842235228534 42.44259801900949 163.02281259947713 42.903482956407515 164.65717010093013 37.08563693471523 135.44473940413832 52.75744067333658 TV00010.fits
